postText	phrase(s)	spoiler
		
All three are legends.	[For now, though, the three legends are the only ones left standing from the Class of 1998 -- unless you count the No. 23 overall pick, Cleveland Cavaliers head coach Tyronn Lue.]	['Vince Carter', 'Paul Pierce', 'Dirk Nowitzki']
She Put Baking Soda On Her Toes... And Solved One Of Life’s Most Annoying Problems	[Baking soda for heartburn., Baking soda for bee stings., Applying some baking soda mixed with water to a bee sting will help neutralize the acidity of the venom.]	['Baking soda', 'bee stings']
For The First Time In Its 126-Year History, This Newspaper Endorsed A Democrat	[The Arizona Republic has only endorsed Republican candidates for president in its 126-year history]	['The Arizona Republic']
Cancer is contagious among clams. What about us?	[But last year, Stephen P. Goff, a molecular biologist at Columbia University, and his colleagues found contagious cancer in soft-shell clams., He and his colleagues began to wonder if other species of clams or related animals — known collectively as bivalves — had contagious cancers of their own, and, if so, why., They concluded that this strain of contagious cancer must have started in pullet shell clams and then jumped species, infecting golden carpet shell clams.]	['I don’t think we should be starting to panic']
1/3 of Americans believe this about the Syria conflict	[Most things aren't really the end of the world, but one-third of Americans who were surveyed believe that the Syria conflict is an indication that our days are numbered.]	['apocalyptic omen']
The horrible incident that cut my honeymoon short	[After hitting a speed bump and falling off of the vehicle, her husband shattered his shoulder and Rudner rotated her hip, cutting the trip short.]	['Rudner and her husband rented ATVs. After hitting a speed bump and falling off of the vehicle, her husband shattered his shoulder and Rudner rotated her hip']
This Drug Could Add Five Years To Your Dog’s Life	[When examining the benefits of a drug that extends life expectancy, it’s not enough to look at how many years are being added on, but the quality of the years being added.]	['rapamycin']
ANOTHER Catholic university drops abortion coverage	[A second Catholic university in California this week has dropped elective abortion coverage for its staff.]	['Santa Clara University']
"College president to students: ""This is not a day care. This is a university!"""	[This fall, protests at Yale, Princeton, Duke and the University of Missouri — where the chancellor and system president resigned in the midst of turmoil — drew national attention to the concerns many students have about how minorities are treated on campus.]	['Oklahoma Wesleyan University']
How men can get the bedroom blues too	[They have a reputation for nodding off afterwards – and now it seems making love can make some men depressed, too., The report’s author, Professor Robert Schweitzer, of Queensland University of Technology in Australia, has studied data from both genders, and says PCD is ‘not uncommon’ in men., 'Some people like to cuddle, others like to be alone and there are others who experience what is described as post-sex blues.’, Psychotherapist and sex therapist Phillip Hodson, author of How To Make Great Love To A Man, said: ‘The sadness some men feel at this point may be due to the contrast between the joy of arousal and feeling like a superhero and the sensation of the feel-good hormones wearing off.’, And while women have a reputation for becoming emotional after sex, he added: ‘I think men get emotional too, but they don’t show it.’]	['The sadness some men feel at this point may be due to the contrast between the joy of arousal and feeling like a superhero and the sensation of the feel-good hormones wearing off.']
She might be the only author to benefit from the Amazon-Hachette war thanks to Stephen Colbert	[How Ms. Lepucki ended up as perhaps the only author to benefit from the Amazon-Hachette spat over pricing is a tale of almost unbelievable luck., Mr. Colbert invited Mr. Alexie on his show and asked him to bring a book by an author penalized by Amazon’s refusal to take Hachette preorders.]	['Edan Lepucki']
This NFL Player Slept in a Utility Closet in College to Save Money	[Meet the NFL player who lived in a utility closet in college to save money (1:31) Tim Masthay, of the Green Bay Packers, and his wife Amanda are the best team in the NFL when it comes to personal finance.]	['Tim Masthay']
Psychedelic drugs are not cocaine — here’s why that matters	"[The word ""psychedelic"" can inspire visions of the 1960s — hippies dancing in mud puddles at Woodstock and Grateful Dead groupies packed into Volkswagen buses., But psychedelics may not be as dangerous and addictive as our society thinks., Many of the negative perceptions we have of psychedelics can be traced back to their prohibition in the...]"	['But psychedelics may not be as dangerous and addictive as our society thinks.']
What weighs 2032 pounds is orange and can be seen in New York this week?	[According to a press release by the New York Botanical Garden, Tim and Susan Mathison from California have grown a squash that weighs... wait for it... 2,032 pounds -- wowza!]	"[""World's Largest Pumpkin""]"
You won't BELIEVE how much Paris Hilton dropped on two teeny-tiny dogs!	[Paris Hilton Drops $25K for One Pound of Dog, Paris Hilton goes big when she goes small, dropping $25K on 2 dogs.]	['$25K']
This Guy Put An Ice Cream Cone In His Pocket... Seconds Later, He Was In Handcuffs.	[Putting ice cream in your back pocket., If you find yourself so moved to store ice cream in your back pocket in Alabama, you’ll pay the price, and we don’t just mean a cold rear end.]	['If you find yourself so moved to store ice cream in your back pocket in Alabama, you’ll pay the price, and we don’t just mean a cold rear end.']
How to completely banish stress in just THREE MINUTES	[So what if there was a simple three-minute solution for clearing your mind and erasing your worries instantly?, Speaking to FEMAIL, she explained: 'When worry kicks off and stress kicks in, you need to make space.]	['close your eyes or simply stare at a fixed point', 'Next, turn all focus to pulling in your breath', 'Then, simply sigh', 'Then start counting the breath in and out through the nose', 'repeat this eight times']
"Lawmakers are going to punish university for not shutting down ""Sex Week"""	"[A group of conservative Tennessee lawmakers plan to punish the state's flagship public university over a student-organized event in early March called ""Sex Week"" -- by dramatically cutting back its ability to host guest speakers.]"	['University of Tennessee']
The reason why this ex-basketball player got arrested will make you MAD!	[- The ex-girlfriend of former basketball Alvin Japhet Almario stated that she broke up with him after he started abusing her, A former collegiate basketball player once playing on the offense has now committed one that can possibly land him in jail., On Monday evening, 26-year-old Alvin Japhet Almario was arrested by the NBI in an entrapment operation for allegedly beating up his ex-girlfriend and uploading their sex video online., Angel, the alias of Almario's former girlfriend, said that her relationship with the former basketball player only lasted for a year after he started beating her.]	['Almario', 'alleged physical abuse and uploading their sex video online']
One of the most ‘annoying things’ on the entire planet just turned 20	[The story of Crazy Frog is as weird as the thing itself., I don't often feel old however finding out Crazy Frog is now 20 years old...]	['Crazy Frog']
Explainer: Is There Any Science Behind Astrology?	"[So, based on the evidence (or lack thereof), is there any real science to support astrology?, However, as Understanding Science explains, ""Some expectations generated by astrology are so general that any outcome could be interpreted as fitting the expectations; if treated this way, astrology is not testable."", There haven’t been many studies that investigate the science behind astrology, but of the few that have, the results have failed to support the validity of astrological views., Plus, astrology doesn’t lead to ongoing research, which is another key part of science., You should read this next: Science Explainer: Why GMOs Aren’t Harmful to Your Health]"	"['""Although astrologers seek to explain the natural world, they don\'t usually attempt to critically evaluate whether those explanations are valid — and this is a key part of science.""']"
This Is the First Thing Guys Notice About Women	[Thirty-eight percent of gents confessed that this is the first thing they notice about you .]	['face']
The latest Hollywood baby name: Kaius	[The celebrity stylist and husband Rodger Berman welcomed their second child, a baby boy, into the world over the weekend., In case you hadn't been tracking the epic toddler wardrobe of Skylar Berman, Zoe's 2-year-old, the new baby is Zoe's second son, giving her yet another opportunity to create the world's most adorable fedora moments., Kaius Jagger Berman!, So excited to welcome our baby boy into the world...]	['Rachel Zoe Gives Birth To Her Second Baby Boy!']
An unlikely company is crushing America's biggest clothing stores	[Department-store executives have blamed declining apparel sales on the weather and on consumers' changing shopping habits, which in recent years have gravitated more toward big-ticket items like televisions and vacations over clothing.]	['Amazon']
Shower Habits You Need To Stop Doing Immediately	[Here are the things you need to stop doing while showering.]	['1. Washing Your Face', '2. Not Washing Your Feet', '3. Not Washing or Replacing Your Loofah Regularly', '4. Using a Soap Dish', '5. Using Scented Soaps']
When People Ate People, A Strange Disease Emerged	[When People Ate People, A Strange Disease Emerged]	['kuru']
Prevent Your Kids From Playing Near This Dangerous Common Plant That Can Kill Them	[Prevent Your Kids From Playing Near This Dangerous Common Plant That Can Kill Them]	['Dieffenbachia']
Are lefties really more creative?	"[Today’s lefties are surrounded by a far more benevolent glow., Does being left-handed really make you more creative?, They’ve studied whether lefties are better at problem-solving, and if they’re more likely to die young., Some researchers conclude that lefties are no smarter than righties, while others say that left-handedness comes with a clear intellectual advantage., Are lefties more prone to schizophrenia and learning disabilities?, But ""Are lefties different?"" might not even be the right question., If you’re a lefty who enjoys feeling superior, we’re not going to tell you to tone it down.]"	['The answer to that is a definitive ... maybe.']
"You Won't Believe What ""Unknown Substance"" Sent 7 Planned Parenthood Staffers to the Hospital"	"[Officials at a Planned Parenthood abortion business in Sarasota, Florida called police on Monday after an ""unknown substance"" was found in the building.]"	['baby food']
You'll Never Guess What (Or Who) Michael Douglass' Son Cameron Has Tattooed On His Abs	[For Cameron Douglass, that goes double., His dad is, of course, Michael Douglass, whose own dad is film legend Kirk Douglass., The 37-year-old shared this photo of his post-prison physique, including — yes, really — his abdomen tattoos of Michael and Kirk.]	['Michael and Kirk']
The cancer-causing ingredient lurking in your beauty products:	[A byproduct of other chemicals used in beauty products 1,4-dioxne can often escape your attention on the list of ingredients., As such, Sen. Chuck Schumer of New York is calling for the ingredient, which he claims causes eye, nose and throat irritation, to be removed from all personal care products in the US.]	['1,4-dioxane']
The surprising thing that may be making you crave junk food	"[""Bad guy"" bacteria may be partly to blame for your junk-food cravings -- by, for instance, sending out sugar-and-fat-jonesing signals via the gut-to-brain vagus nerve., Plus, some microbes may help you extract more calories from food and increase fat storage -- effectively making you put on weight.]"	['gut bacteria']
What It Feels Like to Die	[The way death is talked about tends to be based on what family, friends, and medical professionals see, rather than accounts of what dying actually feels like., What does dying feel like?, But that’s not what it feels like to the person dying, as far as doctors can tell., Being at the bedside of an unresponsive dying person can feel like trying to find out whether someone is home by looking through thick-curtained windows.]	['from the last two weeks until the last breath, somewhere in that interval, people become too sick, or too drowsy, or too unconscious, to tell us what they’re experiencing', 'Pre-death dreams were frequently so intense that the dream carried into wakefulness.', 'First hunger and then thirst are lost. Speech is lost next, followed by vision. The last senses to go are usually hearing and touch.', 'There are some kinds of conditions where pain is inevitable', 'We generally believe that if your brain is really in a comatose kind of situation, or you’re not really responsive, that your perception—how you feel about things—may also be significantly decreased,']
This state is NOT excited about legal weed	[Yes, a lot of people are excited about Colorado's new legal recreational marijuana laws.]	['Wyoming']
This company wants you to bring your dog to work	"[Nvidia, it turns out, allows and even encourages its workers to bring their dogs to work., ""If you want to be a responsible dog parent, one way to do that is to provide them company., Nvidia’s puppy love began informally several years ago, when one worker asked Huang if he could bring his dog to work., More dog owners started bringing their pets, and the company adopted a formal policy., Most dogs adjust quickly to the new digs once they start coming to work, and owners bring beds or blankets to cozy up on the floors of their cubicles, where dogs loll much of the day.]"	['Nvidia']
Here's Why Some Big Brand Names Are Suddenly Missing A's, B's And O's	[Some of the world's biggest companies and iconic landmarks are suddenly missing three key letters from their names: A's, B's and O's.]	"[""it's all part of a massive effort to encourage people around the globe to donate blood""]"
If Donald Trump were black, would the GOP base accept him? The answer is obvious.	[Moreover, so much of Donald Trump’s popularity is based on unsubtle appeals to white nationalism that — despite the thought exercise above — it’s impossible to imagine a true black analogue.]	['Republican voters would enthusiastically welcome a black candidate, a Donell Trump — so long as he, too, championed nationalist, politically incorrect, anti-immigrant populism.']
This is how much coffee Americans drinks every day	[2.1 coffee drinks per day, and it increases with age.]	['2.1 coffee drinks']
Why this model is suing  for $1.5 BILLION	[Late last week, Avalos and an unspecified group of other plaintiffs who say their photos were used to make phony accounts filed a $1.5 billion class-action suit against Match.com’s parent company, IAC (InterActiveCorp), in Manhattan federal court, according to the Post.]	['Yuliana Avalos', 'Match.com’s parent company, IAC (InterActiveCorp)']
Are Red Hot Chili Peppers Really 'The Worst Band In The Universe'?	[And even if you truly can’t stand the Red Hot Chili Peppers, you’d still have a hard time arguing they were even the worst band on this stage – not when Imagine Dragons were the most recent occupants of it.]	['you’d still have a hard time arguing they were even the worst band on this stage']
Obama’s Female Staffers Came Up With a Genius Strategy to Make Sure Their Voices Were Heard	"[When President Obama first took office, the White House wasn’t exactly the friendliest place for female staffers., and came up with a system to make sure they were heard:, Female staffers adopted a meeting strategy they called ""amplification"": When a woman made a key point, other women would repeat it, giving credit to its author., As the Post points out, things have gotten much better for female staffers in Obama’s second term.]"	"['Female staffers adopted a meeting strategy they called ""amplification"": When a woman made a key point, other women would repeat it, giving credit to its author.']"
How Beats tricks you Into thinking it makes a premium product	[The sneaky designers at Beats by Dre employ a clever trick to make you think that the company’s plastic headphones are durable products worth the premium price.]	['In these headphones, 30% of the weight comes from four tiny metal parts that are there for the sole purpose of adding weight']
This Clever Trick Will Instantly Clear Your Lawn of Unwanted Leaves	[Every year, there comes a time when our once-green lawns become completely covered in fallen leaves., If you've been procrastinating when it comes to raking, you're in luck: One homeowner recently shared the most genius trick for cleaning up leaves in a snap., He then uses it to clear his front yard of dead leaves in seconds.]	['giant piece of cardboard']
This might be the darkest theory yet about why Donald Trump keeps winning	[On television and on the stump, at debates and in speeches, Donald Trump is reminding the American people that they are going to die.]	['Solomon’s recent research shows that people who are thinking about death are more likely to say they support him']
The curious cases and unsolved #mysteries that perplexed us in #2016	"[The case, which made headlines around the world, remains a mystery, but theories have included drugs, financial troubles, mental illness and ""shared delusions""., The symptoms are similar to those suffered by Hollywood actor Brad Pitt's character in the film The Curious Case of Benjamin Button.]"	"['Mark and Jacoba Tromp and their adult children Ella, Riana and Mitchell left their home in Silvan, east of Melbourne, taking cash but leaving behind bank cards and mobile phones.', 'Hundreds of kangaroos were found dead in far west New South Wales this year from what was described as a ""mystery disease"".', 'When a magnitude 7.8 earthquake struck near Christchurch in November, videos emerged that appeared to show the New Zealand sky lighting up in blue and green.', 'This year it was reported that doctors were at a loss to explain the mysterious illness making a four-year-old Bangladeshi boy look like an old man.', 'The FBI announced this year that one of America\'s most baffling crimes — that of hijacker Dan ""DB Cooper"" who jumped out of a plane with a parachute and ransom money 45 years ago — looks set to remain an enigma.']"
Ex-Cons Remember Their Worst Jobs After Being Released from Prison	[According to the National Institute of Justice , over 60 percent of ex-cons are jobless up to a year after release., I dreaded that job, but as I've talked with other ex-cons over the years about their first gigs on the outside, I now consider myself lucky., The fact that over 75 percent of ex-cons are rearrested within five years of releas e should be no surprise when the only jobs offered to people with criminal records are the gigs no one else applies for., VICE chatted with three ex-cons to get more perspective on what re-entering the workforce was like once they got out of prison., My first job out of prison was the worst job available in Colombia, Missouri., No one else would take these jobs besides ex-cons at the halfway house., I started working the same week I was released at this telemarketing place that hired ex-cons at $7.25 an hour., But most ex-cons needed the job to get out of the halfway house, so they just kept working there until something better came along.]	['working on a cattle ranch as a utility farmer,', 'picking up trash at the city dump in 100-plus degree weather', 'telemarketing place']
Verizon and AT&amp;T Don't Like This Internet Ruling, But Your Pocketbook Will	[Verizon and AT&T Don't Like This Internet Ruling, But Your Pocketbook Will]	['net neutrality']
Instead Of A Graduation Speech, This Teen Does THIS And Surprises Everyone!	[Verizon and AT&T Don't Like This Internet Ruling, But Your Pocketbook Will]	"['sang his very own special rendition of Lukas Graham’s hit song ""7 Years.""']"
