titre;phrase(s);spoiler
One of the most useful iOS apps is finally back;[One of the Most Useful iOS, Apps Is Finally Back, A popular video-playing app is finally back in the App Store., VLC, the cross-platform multimedia player that plays a variety of different file types, is once again available on iOS devices after being pulled from the App Store around the time iOS 8 released in September.];['VLC']
And the world's safest country in terms of homicides is...;[The world’s safest country, in terms of homicide, is tiny Liechtenstein, which didn’t have any murders in 2012, but there are a number of countries, especially in Europe and East Asia, with rates lower than 1 per 100,000.];['Liechtenstein']
We can't believe these are all under $100;[We've rounded up 19 warm sweaters that are all under $100.];['sweaters']
Breast cancer rates are on the rise among these women;[Breast Cancer Rates On The Rise Among Black Women];['Black Women']
The first photos from the reboot are here.;[Tomb Raider starring Angelina Jolie is now older than many sentient moviegoers, so the beloved video game series was due for a reboot any day.];['Tomb Raider']
Apparently All Taylor Swift and Tom Hiddleston Do Is...;[Apparently All Taylor Swift and Tom Hiddleston Do Is Take Walks on Beaches];['Take Walks on Beaches']
The four-letter word NO woman wants to hear;[There are few words that trigger such a vehement reaction among midlifers than "ma'am.", Much has been written about the use of "ma'am" -- kids in the south are raised using the word as a term of respect -- but still the word sometimes makes us wince., Pam Williams had what might be the best solution of all: "Want to be liked?", "Address ALL women as 'Miss' and let them correct you -- most won't.", As for what is arguably the most-famous "Ma'am-ing" in pop culture, it turns out that the "Just the facts, Ma'am" widely attributed to Joe Friday in the popular series "Dragnet" may not have actually been those precise words., Those who keep track of such things say Friday's catch-phrase was actually, "All we want are the facts, Ma'am."];["ma'am"]
Scientists say this behavior can make men more attractive to women;[A growing body of research on romantic attraction has focused on the importance of altruism: Men who display helping behaviors are generally perceived as more attractive than those who don't., In a 2013 study on the topic, researchers had young, heterosexual men and women rate pictures of other men and women on how attractive they would be for short- and long-term relationships., Both men and women rated the altruistic people as more attractive for long-term relationships — but women showed a stronger preference for altruism than men did., All the women were asked to rate each man on how attractive he was for a short- or long-term relationship.];['altruism']
Why Women Are No Longer Catching Up To Men On Pay;[Hourly pay has risen more than twice as fast over the past three decades for men working long hours, as employers increasingly reward employees willing to work extra hours with raises or promotions., So as wage gains have gone disproportionately to people working long hours, they have also gone disproportionately to men, widening the earnings divide between men and women overall., But that premium itself isn’t the result of discrimination, explicit or implicit; women who work long hours have seen even faster gains than men (although they still earn less on average)., Rather, the trend contributes to the wage gap because men are so much more likely than women to work those long hours., And even forces that should help close the gap, such as education, have proved insufficient: Women have for decades been more likely to attend college than men — there are now for the first time more female than male college graduates — yet the pay gap is widest among the most educated workers.];['men are so much more likely than women to work those long hours']
@AnnCoulter won't stop ranting about this;[Ann Coulter can’t stop raging against Hispanic voters., Avoiding the approach advocated by folks like Coulter or Schlafly, he spoke some Spanish, supported immigration reform and refrained from ranting against Latinos during interviews with the media.];['Hispanic voters']
Is THIS the world's deadliest toxin?;[Don't panic, but scientists have stumbled across a new substance that may be the deadliest known to man., A new variant of botulinum toxin, "type H" is so dangerous that researchers have decided to withhold publishing information about it, over concern it could be used as a bioweapon., C. botulinum has long been known to produce the highly dangerous toxins, giving scientists time to develop antitoxins with which to treat them., Fortunately, the likelihood of an average person randomly encountering the new toxin "is exceedingly small," Hooper told The Huffington Post via email., Dr. David A. Relman, a professor of medicine at Stanford, wrote in an editorial commentary accompanying the initial report, "Until [a type H] antitoxin can be created, shown to be effective, and deployed, both the strain itself and the [DNA] sequence of this toxin ... pose serious risks to public health because of the unusually severe, widespread harm that could result from misuse of either."];['botulinum toxin, "type H"']
Watch as a romantic waterfall wedding proposal goes horribly wrong;[Then, in a flash, the ring was gone, falling into the cold waters below.];['in a flash, the ring was gone, falling into the cold waters below']
This company wants to solve all your scanning and filing problems;[Ripcord, a startup backed with a $9.5 million funding round led by Kleiner Perkins Caufield & Byers, has created a machine its founders think is key to solving a huge problem faced by companies as they try to access data that hasn’t made it into the information age – billions of boxes of paper files.];['Ripcord']
Antibiotics will soon 'stop working';[Urgent action is needed to control the use of antibiotics before they cease to work, leaving a number of major conditions untreatable and causing "terrible human and economic cost", a major study has warned., Resistance to antibiotics is growing at such an alarming rate that they risk losing effectiveness entirely meaning medical procedures such as caesarean sections, joint replacements and chemotherapy could soon become too dangerous to perform., Antibiotics act to kill or inhibit the growth of bacteria, stopping infections.];['Resistance to antibiotics is growing at such an alarming rate that they risk losing effectiveness entirely']
There was one very important thing missing from the Marco Rubio pancake breakfast:;[LONDONDERRY, NEW HAMPSHIRE—Three clarifications from Marco Rubio's pancake breakfast Sunday morning., "It's the Marco Rubio pancake breakfast—so far we've had no pancakes and no Marco Rubio," joked Bob Durant, a Rhode Island lawyer who was political touring with his family and friends.];['pancakes']
Who’s The Biggest Khan In Bollywood? He Is;[Salman is a bigger star than me., I think Shah Rukh is a bigger star., Amitabh ji is a bigger star., When Salman enters it looks like a big star has entered., So Salman and Shah Rukh are bigger stars than I am., I also feel they are bigger stars than me.];['Salman']
Is there a better way to observe Veteran's Day?;[On Memorial Day, some people observe the national one-minute Moment of Remembrance at 3 p.m., which was passed into law by Congress in 2000., And, as in the U.K. and Canada, the Veterans of Foreign Wars (VFW) distributes poppies on Veterans Day and Memorial Day so that people can publicly commemorate the fallen., From 1989 until his passing in 2012, Senator Daniel Inouye of Hawaii, a World War II veteran, repeatedly introduced resolutions to return Memorial Day to its traditional date—and, by proxy, its original intent., Separately, two bills have been introduced in Congress in the last two years alone—one to establish two minutes of silence on Veterans Day, the other to do the same on Memorial Day., Neither bill has been passed, although the one for Veterans Day has since been revised as an amendment to the National Defense Authorization Act.];['Senator Daniel Inouye of Hawaii, a World War II veteran, repeatedly introduced resolutions to return Memorial Day to its traditional date—and, by proxy, its original intent']
Is this a duck or a rabbit?;[Users are trying to figure out if it’s a duck or a rabbit., One user noted the similarity to a famous drawing that appears to be of both a duck and a rabbit.];['One user noted the similarity to a famous drawing that appears to be of both a duck and a rabbit']
This is how much a gold medal from #Rio2016 is really worth:;[It’s difficult to argue against that claim as more than 11,000 athletes will be competing in 28 sports and 42 disciplines for the event’s ultimate prize: the gold medal., The "podium value" of the gold medal at the Rio 2016 Olympics is approximately $564 , based on the price of gold at $43.76 per gram and the price of sterling silver at 61 cents per gram, as of Thursday., However, it is a long way off from the approximate $708 record price of the 2012 London gold medal, due to the record high price of gold and silver at the time., If the entire medal was made of gold it would be valued at nearly $22,000, which is why 1912 was the last time all-gold medals were awarded., A total of 2,488 medals were produced for the Rio 2016 Olympics (812 gold, 812 silver and 864 bronze) by the Mint of Brazil., Each of the 812 Olympic gold medals is plated with six grams of gold (the minimum required by the International Olympic Committee) with 99.9 percent purity.];['$564']
People with this personality type may be happier and more successful;[After several years working in business, Chou noticed there were some people who were both optimistic and realistic, and that they tended to be very successful., The findings suggest that realistic and unrealistic optimists may actually be very different personality types, Chou said.];['realistic optimists']
This Trend Is Perfect For People Who Can't Paint Their Own Nails;[Some may call the spray-on nail polish trend "lazy" or "messy," but we think it's pretty awesome., Milk Makeup and China Glaze have recently added spray-on nail polishes to their beauty lines, proving that this trend isn't going anywhere any time soon., Don't worry about getting the spray-on nail polish all over your fingers -- you can remove the excess paint by simply washing your hands or using a makeup remover wipe.];['spray-on nail polishes']
Find out the reason why Manny Pacquiao decided to unretire from boxing;[Manny Pacquiao stated that his passion was the reason for him to return to boxing just after he had publicized his desire to leave the ring for good last April.];['his passion']
This is the best time to drink coffee;[The video's narrator explains that 9 a.m. is probably the ideal time for most people to drink their coffee, because it's right after your body's peak cortisol production.];['9 a.m.']
DMX arrested again;[Nov 5 - Rapper DMX, whose real name is Earl Simmons, was arrested outside a South Carolina airport on Monday for driving with a suspended license and without a vehicle tag and insurance, according to the Spartanburg County Detention Center.];['for driving with a suspended license and without a vehicle tag and insurance']
Why it's definitely worth it to get your flu shot;[Oct 28 - When her law office offered flu shots in mid-October, Kelly Walsh, a paralegal in Boston, hesitated., The year before, she had flu-like symptoms for a week after getting the shot., "I also worried if everyone at work knew I got a flu shot, it'll be harder to take sick days if I do get the flu," says Walsh, 38., A recent study by the Centers for Disease Control and Prevention (CDC) and Vanderbilt University Medical Center found that getting a flu shot reduced the risk of flu-related hospitalization by 71.4 percent for all adults and 76.8 percent for those over age 50 during the 2011-2012 flu season., Flu shots aren't always free., Many large firms like Walsh's offer free flu shot clinics, but letting workers know they won't be penalized for taking sick leave can also pay dividends for businesses big and small., What's new this year, says Dr. Michael Jhung, medical officer at the CDC, is that many flu shots will immunize against four strains of the flu virus for the first time, an improved protection over years past., As an added bonus, a new study published in the Journal of the American Medical Association found that up to 36 percent of those vaccinated reduced their risk of heart attack, stroke, or other cardiovascular health problems just by getting a flu shot., Peter Delgado, a 66-year-old self-employed accountant, recently left a Cambridge, Massachusetts, Rite Aid before getting his flu shot.];['reduced the risk of flu-related hospitalization']
Overwatch Has a Secret Character And She’s Going To Be Revealed Soon;[Overwatch Has a Secret Character, And She’s Going To Be Revealed Soon, A new character might be on its way for joining the Overwatch roster soon., A story about this was covered in detail by NeoGaf, where they compiled a couple of sources which indicates that the new support character named Sombra can come to Overwatch soon., Apart from these, there has also been information that Sombra was seen in the character select screen along with a sniper scope, which is another strong signal that the character might be on its way to Overwatch soon.];['Sombra']
Hollywood didn't want to make this Vin Diesel movie;[That means even Vin Diesel -- who, thanks to the "Fast and Furious" movies, stars in one of the most popular film franchises in existence -- had to independently finance the third "Riddick" movie.];['third "Riddick" movie']
A bit of debris chipped the International Space Station. That’s just one piece of a much bigger problem;["I am often asked if the International Space Station is hit by space debris," British astronaut Tim Peake, who took the freaky photo of the damaged window, said in a statement., Because of the incredibly high speeds of these orbiting pieces of debris, something 1 centimeter across could disable critical instruments on the space station, and anything larger could penetrate the sturdy shields that protect crew modules., Mashable reports that NASA tracks more than 500,000 pieces of defunct satellites and old rocket bits orbiting Earth, some no larger than marbles, so that the space station can be maneuvered away from close encounters — but many small pieces, like the one that hit the space station, are too difficult to keep track of.];['NASA tracks more than 500,000 pieces of defunct satellites and old rocket bits orbiting Earth, some no larger than marbles, so that the space station can be maneuvered away from close encounters — but many small pieces, like the one that hit the space station, are too difficult to keep track of']
@iamdiddy lost HOW MUCH to Rick Ross playing Craps?!;[Diddy and pal Rick Ross played a game of dice yesterday, more specifically Craps, and upon making a bad call -- Diddy ended up owing Ross one million dollars.];['one million dollars']
Man Purchases Harley-Davidson Motercycle. His reason is unbelievable!...;[LINCOLN, Neb. — A 34-year-old Lincoln man purchased a 2012 Harley-Davidson Softail Slim motorcycle this past Tuesday in an effort to cut down on his perceived duty to wave to other motorcyclists.];['to cut down on his perceived duty to wave to other motorcyclists']
Target in PANIC after getting terrible news;[Target’s stock had been dented since the American Family Association’s boycott began amassing signatures in the millions, but we obviously had no way of knowing if people were actually boycotting the store., Target reported earnings this morning, and as it turns out, people made good on their promise., As Reuters reports: Target reported a lower-than-expected increase in quarterly sales at established stores and gave a cautious outlook for the current period, citing volatile weather and weaker demand for electronics and groceries., Target Chief Financial Officer Cathy Smith said apparel sales rose during the quarter and were stronger than other retailers’, but big swings in temperature hurt demand in that category.];['Target’s stock had been dented since the American Family Association’s boycott began amassing signatures in the millions, but we obviously had no way of knowing if people were actually boycotting the store.']
Bernie Sanders Makes MAJOR Announcement To His Entire Staff And Followers (QUOTES);[Sources close to the Sanders campaign have reported that the Vermont Senator will begin laying off a large part of his staff starting Wednesday., The reports indicate that at least half of his staff will be laid off in the wake of Clinton’s victories in New Jersey and California, though some of them might be offered jobs in Sanders’ Senate office.];['begin laying off a large part of his staff starting Wednesday']
You'll never guess what's for sale on eBay right now;[Want to add some fab eco-friendly style to your home but have no time to page through thousands of eBay listings?, Then just sneak a peek at my Weekly eBay Roundup of Vintage Home Finds.];['Vintage Home Finds']
Guess which famous Andy Warhol painting could fetch $60 million this fall;[It may just look like a simple, retro Coca Cola advertisement -- and hey, it basically is -- but the familiar black-and-white pop piece is actually an iconic painting by the one and only Andy Warhol., It could set you back up to $60 million., That is, if you have $40 to $60 million sitting around., In other news, Eric Clapton might make $25 million off the sale of a Gerhard Richter painting.];['retro Coca Cola advertisement']
Here’s the secret way people are using Snapchat Spectacles.  (Hint: sex);[People are already hacking their Snapchat Spectacles, And people have definitely been executing on the potential for Spectacles as a sex toy., Of the 26 Spectacles owners we spoke with, Mashable did hear from several people who wore the glasses during masturbation, foreplay and sex.];['as a sex toy']
A Very Special Baby Was Just Born In Indonesia, And People Still Can’t Believe He’s Real.;[Her son, Andatu, was born in 2012, the second Sumatran rhino born in Indonesia in 128 years!];['second Sumatran rhino']
Pulitzer Prize makes major change;[The Pulitzer Prize has broadened eligibility in feature writing and investigative reporting to include online and print magazines, the Pulitzer Prize Board announced in a press release on Monday., "Pulitzer’s aim was the progress and elevation of journalism," Pulitzer Prize administrator Mike Pride said in a statement., "He envisioned that future generations would make changes in the Plan of Award for the prizes that are 'conducive to the public good or rendered advisable by public necessities, or by reason of change of time.', While websites operated by broadcast news organizations remain ineligible, and the prize continues to be primarily focused on text, the Pulitzer Prize Board acknowledges that the web has provided new and compelling ways for journalists to integrate the written word with multimedia content.];['broadened eligibility in feature writing and investigative reporting to include online and print magazines']
Where "Kanye West" is more popular than "Jesus Christ";[Kanye West has used Jesus Christ in his art since "Jesus Walks.", Looking to minimize instances of other people named Jesus and Kanye, we decided to start our search comparing "Kanye West" with "Jesus Christ":, According to the data, in the last year worldwide, looking at only original Tweets (no retweets, no replies), "Jesus Christ" had 3,936,585 mentions, while "Kanye West" had 4,541,349 mentions., So, using "Kanye West" vs "Jesus Christ," their Twitter mentions are pretty close., Here, again using "Kanye West" vs "Jesus Christ," Kanye had slightly more mentions overall, 2,429,931 to 2,224,895, but they were about equal when the day-to-day totals received consideration., That being said, the idiomatic Jesus Christ doesn't directly refer to the person Jesus Christ, while Kanye West refers to the person Kanye in almost all cases, so if we're looking for an apples-to-apples comparison, then Jesus Christ's numbers are significantly smaller.];['original Tweets']
So, don't be a cheat. Because, Science;[Cheating sucks!, Because some people just love to cheat and it can happen for multiple reasons - they found a better match, they just weren't loyal, the opportunity of something different, emotional incompatibility, intimacy, etc., But sadly, despite cheating, most cheaters feel belaboured when caught., But let's keep the mental rationale aside and see what science has to say about it., and now science is backing it., A recent study proves that cheating is not a one-time thing, and that person will probably cheat on you again., Each time a person is caught cheating, the response to their wrongdoing is reduced., It further stated that the brain rationalises with the cheating ways, and feels less guilty, responsible when caught.];['A recent study proves that cheating is not a one-time thing, and that person will probably cheat on you again']
This is the most common birthday in the world;[Researchers at Harvard University found that September 16 is the most common birthday., Due to the leap year, the least common birthday was 29 Feb.];['September 16']
She Glues Rope On An Old Tire Her Next Step Turns It Into Something I Want To Have In My House!;[I guarantee you that anyone who would visit your home would never guess that this ottoman is made from a tire!];['ottoman']
This Woman Reacted to Her New Racist Workplace Dress Code in the Best Possible Way;[Rather than back down, her boss issued a brand new memo regarding the office's dress code, with special attention to headscarves., While still abiding by the new dress code, Rivas is now showing up to work in head-to-toe costumes.];['While still abiding by the new dress code, Rivas is now showing up to work in head-to-toe costumes.']
This bot has saved users $250 million, and it's coming to Facebook messenger;[In two years, its users have saved more than $350 million this way, according to its 31-year-old founder and chief executive officer, Ethan Bloch., When the product moved out of pilot mode, in February 2015, users were saving about $1 million a month; now that’s more than $35 million a month., Digit announced today that it will be the first savings bot on Facebook Messenger’s platform, so users can just use Facebook to communicate with it.];['Digit']
BREAKING: WikiLeaks Founder Reveals Hillary Clinton's Way To Promote Her Presidential Campaign;[He said: "Google is directly engaged with Hillary Clinton’s campaign" and claimed the technology giant used the US State Department on a quid pro quo" basis., From WikiLeaks’ perspective Hillary Clinton is a problem in terms of war and peace."];['He said: "Google is directly engaged with Hillary Clinton’s campaign" and claimed the technology giant used the US State Department on a quid pro quo" basis']
Here’s who professional gamblers are betting will become president;[Online gambling might only be quasi-legal in the U.S., but that's not stopping offshore sites from letting people place their bets on who will be fighting for the Oval Office in November., Trump is given a 71% chance of winning the Republican nomination, says the Election Betting Odds website., The other is determined purely by gambler gut instinct., Put in real world dollars, that means if you were to bet $100 on Clinton and she won, you'd see returns of $172.73., Big bets on Clinton, The odds for Clinton winning the Democratic nomination are so overwhelming that a $100 bet would just earn you an extra $10 and that same bet on Trump to take the Republican nomination would pocket you just $25 more., A $100 bet for Clinton today would be worth $171.43, while a Trump victory would turn $100 into $260.];['Clinton']
